ticker,name,category,region,note,本数,開始,終了,年数
KRE,地方銀行,industry,US,2006年〜,5082,2006-06-22,2026-09-03,20.2
XME,金属・鉱業,industry,US,2006年〜,5082,2006-06-22,2026-09-03,20.2
XRT,小売,industry,US,2006年〜,5082,2006-06-22,2026-09-03,20.2
DBA,農産物,commodity,US,2007年〜,4947,2007-01-05,2026-09-03,19.7
FXY,円,fx,US,2007年〜,4921,2007-02-13,2026-09-03,19.6
UUP,ドル指数,fx,US,2007年〜,4910,2007-03-01,2026-09-03,19.5
HYG,ハイイールド債,bond,US,2007年〜,4882,2007-04-11,2026-09-03,19.4
1626.T,情報通信・サービス(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1627.T,電力・ガス(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1628.T,運輸・物流(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1621.T,医薬品(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1617.T,食品(TOPIX-17),sector,JP,2009年〜,4533,2008-03-19,2026-09-04,18.5
1620.T,素材・化学(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1619.T,建設・資材(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1618.T,エネルギー資源(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1632.T,金融除く銀行(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1631.T,銀行(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1633.T,不動産(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1630.T,小売(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1622.T,自動車・輸送機(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1623.T,鉄鋼・非鉄(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1624.T,機械(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1625.T,電機・精密(TOPIX-17),sector,JP,,4533,2008-03-19,2026-09-04,18.5
1306.T,TOPIX連動ETF,broad,JP,,4340,2009-01-05,2026-09-04,17.7
1321.T,日経225ETF,broad,JP,,4339,2009-01-05,2026-09-04,17.7
1629.T,商社・卸売(TOPIX-17),sector,JP,,4340,2009-01-05,2026-09-04,17.7
CARZ,自動車,industry,US,2011年〜,3853,2011-05-10,2026-09-03,15.3
CPER,銅,commodity,US,2011年〜,3721,2011-11-15,2026-09-03,14.8
INDA,インド,region,US,2012年〜,3667,2012-02-03,2026-09-03,14.6
XLRE,不動産,sector,US,2015年〜,2742,2015-10-08,2026-09-03,10.9
XLC,通信サービス,sector,US,2018年〜,2064,2018-06-19,2026-09-03,8.2
